budget,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,rating
35000000,9348,en,13.492845,7/7/1995,113374103,108,Released,Species,5.5,457,5
668776,139408,en,0.913522,9/15/1995,78697666,109,Released,The Stars Fell on Henrietta,6.6,6,5
42000000,281,en,11.223055,10/13/1995,7959291,145,Released,Strange Days,6.8,334,5
7568779,5967,fr,8.133881,2/19/1964,79798888,91,Released,The Umbrellas of Cherbourg,7.6,119,5
14000000,79593,en,1.820419,9/8/1995,5780000,99,Released,The Tie That Binds,4.6,9,5
564577,47939,en,11.002046,10/27/1995,7025496,115,Released,Three Wishes,6.1,18,5
577687,36834,en,4.546552,11/2/1995,339889,111,Released,Total Eclipse,6.5,112,5
675768,9090,en,7.653446,9/7/1995,47774193,105,Released,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117,5
60000000,3512,en,7.490247,7/13/1995,104324083,100,Released,Under Siege 2: Dark Territory,5.6,217,5
4555544,52856,en,2.881689,9/15/1995,779809088,93,Released,Unstrung Heroes,6.4,9,5
34567654,77350,en,0.786023,8/11/1995,778899990,73,Released,Unzipped,6,6,5
20000000,9560,en,9.715639,8/11/1995,50012507,103,Released,A Walk in the Clouds,6.5,168,5
175000000,9804,en,16.885184,7/28/1995,264218220,135,Released,Waterworld,5.9,1017,5
8000000,31611,en,1.834099,12/1/1995,565645,89,Released,White Man's Burden,5.1,25,5
30000000,65796,en,8.922139,12/1/1995,55677878,98,Released,Wild Bill,5.9,27,5
667777887,49805,en,3.727644,10/12/1994,6568798,97,Released,The Browning Version,6,11,5
67878989,26258,en,3.287036,8/4/1995,6778889,90,Released,Bushwhacked,4.9,29,5
2800000,50797,ru,2.486073,5/1/1994,2616503,135,Released,Burnt by the Sun,6.7,35,5
676878,19155,en,3.525649,6/9/1994,763847,113,Released,Before the Rain,7.7,45,5
2500000,76,en,11.304979,1/27/1995,5535405,105,Released,Before Sunrise,7.7,984,5
10000000,11017,en,6.638116,2/10/1995,26488734,89,Released,Billy Madison,6.2,464,5
4453445,37141,en,2.761837,10/17/1995,65577799,90,Released,The Babysitter,4.7,27,5
21000000,9382,en,3.030309,2/3/1995,23450000,115,Released,Boys on the Side,6.3,48,5
5676888,6715,en,2.686342,4/21/1995,68798999,97,Released,The Cure,7.2,58,5
6766788,18256,en,2.26977,8/4/1995,65678789,95,Released,Castle Freak,5.8,40,5
4667777,22625,en,2.605521,3/16/1995,65578788,103,Released,Circle of Friends,6.5,30,5
27000,2292,en,10.513367,9/13/1994,3151130,92,Released,Clerks,7.4,769,5
25000000,1909,en,7.438934,10/1/1994,22200000,97,Released,Don Juan DeMarco,6.3,184,4
55000000,8984,en,11.812244,12/9/1994,214015089,123,Released,Disclosure,5.9,217,5
5647657,61813,en,0.155859,1/1/1995,76889788,88,Released,Dream Man,2.5,1,5
45000000,4954,en,9.579155,12/8/1994,7897988,101,Released,Drop Zone,5.1,91,5
7657879,62488,it,0.710671,4/28/1995,76876798,88,Released,Destiny Turns on the Radio,5.3,9,5
5657878,10531,en,5.484156,5/4/1994,76787988,103,Released,Death and the Maiden,7.1,92,4
6768788,11929,en,5.8025,3/24/1995,87797098,132,Released,Dolores Claiborne,7.1,183,5
16000000,8467,en,9.844558,12/16/1994,247275374,107,Released,Dumb and Dumber,6.5,1894,5
6587688,10451,zh,4.860016,8/3/1994,7294403,123,Released,Eat Drink Man Woman,7.5,76,4
67887798,20156,en,5.378467,9/24/1994,7687687878,103,Released,Exotica,6.5,64,4
6577677,18395,en,4.322726,10/14/1994,6841570,113,Released,Exit to Eden,4.3,28,4
18000000,522,en,11.720358,9/27/1994,5887457,127,Released,Ed Wood,7.3,639,5
675667,397,en,9.146544,5/5/1995,4757568,111,Released,French Kiss,6.2,179,5
789890,10525,en,16.236745,5/19/1995,557577,101,Released,Forget Paris,6.1,38,4
463467,27985,en,2.657337,1/13/1995,3464646,87,Released,Far from Home: The Adventures of Yellow Dog,5.6,27,4
4657544,15789,en,10.177977,4/7/1995,35348597,78,Released,A Goofy Movie,6.7,404,3
15000000,27303,en,8.182165,3/3/1995,12201255,103,Released,Hideaway,5,24,4
4667777,21183,en,4.953936,6/2/1995,4577777,96,Released,Fluke,6.6,48,3
345464,10954,fr,8.935058,12/7/1994,66677788,111,Released,Farinelli,5.9,20,3
446644,47867,en,0.398924,5/12/1995,3992809,90,Released,Gordy,3,4,5
44644,43475,en,0.090452,12/1/1995,446665566,77,Released,Gumby: The Movie,5,2,5
4455655,72031,en,1.012197,9/16/1994,46454777,109,Released,The Glass Shield,5.4,9,4
700000,14275,en,9.47666,9/12/1994,7830611,171,Released,Hoop Dreams,7.7,91,5
5000000,1024,en,9.438042,9/2/1994,3049135,99,Released,Heavenly Creatures,6.9,299,3
10500000,17207,en,2.688562,1/6/1995,26325256,113,Released,Houseguest,6,17,5
120,13701,en,7.983666,12/16/1994,34455777,121,Released,Immortal Beloved,6.9,90,4
4577755,14819,en,9.546707,2/17/1995,17689177,100,Released,Heavyweights,6,97,5
4647777,32631,en,2.756986,2/24/1995,46778885,106,Released,The Hunted,6,25,1
25000000,11777,en,5.146352,12/24/1994,4657778,100,Released,I.Q.,5.9,112,5
60000000,628,en,11.970205,11/11/1994,223664608,123,Released,Interview with the Vampire,7.2,1558,4
14000000,87729,en,1.596058,3/31/1995,2474000,139,Released,Jefferson in Paris,5.2,10,2
5456344,18713,en,0.748846,2/3/1995,477577445,82,Released,The Jerky Boys,4.8,10,5
60000000,6280,en,6.710215,11/22/1994,37000000,109,Released,Junior,4.7,381,5
4645677,9061,en,9.195256,2/17/1995,4567777,102,Released,Just Cause,6,124,5
55678888,37108,en,5.874511,8/11/1995,76787888,89,Released,A Kid in King Arthur's Court,4.3,40,3
40000000,6071,en,7.797512,4/21/1995,6576788,101,Released,Kiss of Death,5.7,83,5
11000000,11,en,42.149697,5/25/1977,775398007,121,Released,Star Wars,8.1,6778,5
18000000,9587,en,9.774994,12/21/1994,878999009,115,Released,Little Women,7,222,5
17000000,19101,en,7.731725,5/10/1995,77898990,97,Released,A Little Princess,7.4,207,3
66778787,49980,en,0.84508,2/18/1994,6778788,101,Released,Ladybird Ladybird,7.4,14,2
10000000,17961,fr,1.948315,2/16/1994,7678788998,100,Released,L'Enfer,6.6,22,5
2000000,18183,es,4.126083,4/16/1992,21665468,105,Released,Like Water for Chocolate,6.6,70,4
30000000,4476,en,12.199047,12/16/1994,160638883,133,Released,Legends of the Fall,7.2,636,5
7878889,11008,en,9.253362,3/24/1995,67888899,95,Released,Major Payne,6.1,164,4
5566777,47504,en,1.861292,10/27/1994,76787888,98,Released,Little Odessa,6.4,31,4
767778,32325,en,1.788829,6/8/1994,677888899,92,Released,Mi Vida Loca,5.7,9,4
60000000,43742,en,3.290192,10/21/1994,78899997,108,Released,Love Affair,4.3,11,4
17000000,28313,en,7.698526,3/17/1995,7603766,106,Released,Losing Isaiah,6.4,28,5
6768788,11318,en,4.81307,12/28/1994,76787878,107,Released,The Madness of King George,6.7,67,3
45000000,3036,en,14.287753,11/4/1994,112006296,123,Released,Mary Shelley's Frankenstein,6.1,272,5
7687878,40490,en,2.558118,3/3/1995,76878787,96,Released,Man of the House,5.1,40,5
15000000,24070,en,2.899608,12/21/1994,78799966,97,Released,Mixed Nuts,5.2,37,5
7878999,8986,en,3.770115,8/31/1994,18137661,108,Released,Milk Money,5.6,49,4
65767677,10510,en,5.831622,11/18/1994,46264384,114,Released,Miracle on 34th Street,6.4,199,5
78999,17402,en,1.137266,1/27/1995,5,95,Released,Miami Rhapsody,5.6,7,5
5500000,38722,en,3.121288,5/3/1995,678787989,128,Released,My Family,7,11,5
76878978,8438,en,9.518564,1/20/1995,17381942,122,Released,Murder in the First,6.9,140,5
76678787,11593,en,2.891269,12/23/1994,78879898,110,Released,Nobody's Fool,7,56,4
31000000,1945,en,5.930957,12/23/1994,106683817,112,Released,Nell,6.1,128,5
5435454,39310,en,0.629955,4/19/1995,77776768,98,Released,New Jersey Drive,6.9,7,5
676878,109560,en,0.004537,8/14/1993,78798989,93,Released,New York Cop,0,0,5
4800000,56428,en,0.426952,4/22/1994,879898,89,Released,Beyond Bedlam,4,4,4
78798989,63105,en,1.466491,9/26/1995,66788898,83,Released,Nemesis 2 - Nebula,4.6,10,5
78678989,131957,en,0.769522,3/3/1995,6787898,100,Released,Nina Takes a Lover,7.4,4,3
34000000,241,en,11.226856,8/25/1994,50282766,119,Released,Natural Born Killers,6.9,927,5
78898977,9058,en,4.936761,9/17/1994,989090909,115,Released,Only You,6.4,92,5
87989899,527,en,4.025276,9/2/1994,2201126,99,Released,Once Were Warriors,7.6,106,4
67898909,18220,en,6.448039,1/16/1996,87989999,106,Released,Poison Ivy II: Lily,4.6,32,5
50000000,6950,en,13.676444,3/10/1995,189859560,127,Released,Outbreak,6.4,522,4
16000000,101,fr,20.477329,9/14/1994,45284974,110,Released,Leon: The Professional,8.2,4293,4
11000000,63020,en,1.433544,5/12/1995,2832826,113,Released,The Perez Family,6.6,9,5
779898989,2307,en,0.463307,4/28/1995,89898989,94,Released,A Pyromaniac's Love Story,7,2,5
8000000,680,en,140.950236,9/10/1994,213928762,154,Released,Pulp Fiction,8.3,8670,5
4343545,41478,en,7.160149,11/10/1995,6834525,124,Released,Panther,6.4,6,3
400000,25296,zh,1.638622,2/1/1992,152322,105,Released,Pushing Hands,6.1,9,5
676878,40156,en,1.881932,1/1/1994,4176932,98,Released,Priest,6.4,32,4
6776878787,11450,en,7.772505,9/16/1994,678788899,133,Released,Quiz Show,7.1,262,3
5465656,30304,en,1.296912,5/5/1995,787989898,94,Released,Picture Bride,7.4,5,5
3454545,10452,fr,4.405405,5/13/1994,7687888656,162,Released,Queen Margot,7,67,5
32000000,12106,en,7.54701,2/9/1995,18552460,107,Released,The Quick and the Dead,6.2,431,4
22000000,161495,sv,3.395867,3/1/1995,12400000,108,Released,Roommates,6.4,7,4
